classification,days,avg_daily_pnl,median_daily_pnl,avg_daily_trades,avg_daily_volume_usd,avg_buy_sell_ratio,avg_dd_proxy,account_day_obs,avg_account_day_pnl,median_account_day_pnl,win_day_rate,avg_account_trades,avg_account_size_usd,avg_account_buy_sell_ratio
Extreme Fear,14,52793.589177857146,22561.7396365,1528.5714285714287,8177447.245714285,1.1675520189115811,-11508.16358258611,160,4619.4390530625005,218.377399,0.6,133.75,6773.464125428701,2.8434143991668694
Extreme Greed,114,23817.292198885963,3127.5362965000004,350.8070175438597,1091799.6892105262,1.8903788947686542,-6633.447934856322,526,5161.9226438650185,418.3198625,0.6825095057034221,76.03041825095058,5371.637181741856,1.4498222976593362
Fear,91,36891.81804002198,1412.314654,679.5274725274726,5311261.426263737,3.190270773615955,-5849.389876418469,630,5328.818161336508,107.89253199999999,0.6047619047619047,98.15396825396826,8975.928545864448,2.083116542958185
Greed,193,11140.566181093263,678.4759280000001,260.6373056994819,1495246.0866321241,2.014732280428281,-9086.70825076938,648,3318.100729862654,158.214922,0.6111111111111112,77.62808641975309,6427.866594360551,1.7877582273206576
Neutral,67,19297.323515671644,1818.573295,562.4776119402985,2690180.045970149,2.4195605552122896,-6393.592779209876,376,3438.6188179521278,167.551743,0.6223404255319149,100.22872340425532,6963.694860853634,2.2326166609950002
